Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-2.744	-10.579	-328.833
1	12.518	-18.401	-332.813
2	3.673	-13.646	-329.655
3	-19.677	2.743	-331.714
4	-3.188	-5.698	-328.058
5	-0.304	-7.741	-328.232
6	6.560	13.044	-329.795
7	-8.041	-5.188	-328.550
8	14.247	-2.038	-329.732
9	5.617	-12.024	-329.412
10	2.665	19.581	-331.669
11	-12.856	-10.139	-330.367
12	2.377	-1.737	-327.719
13	-20.292	-2.220	-331.952
14	1.197	4.893	-327.886
15	15.034	-3.504	-330.056
16	-6.364	-16.200	-330.734
17	12.405	-12.050	-330.693
18	-14.153	17.382	-332.892
19	-2.029	-1.563	-327.698
20	5.028	-10.016	-328.895
21	-19.252	-5.427	-331.772
22	3.013	-7.060	-328.221
23	-15.140	-0.673	-329.966
24	-9.392	-5.154	-328.785
25	0.141	1.656	-327.661
26	-0.550	-5.922	-327.985
27	-6.979	-21.635	-333.052
28	14.814	-8.508	-330.617
29	-3.185	-11.114	-328.977
30	-7.954	-2.226	-328.315
31	3.560	-8.423	-328.470
32	-8.023	-7.440	-328.835
33	14.149	-3.061	-329.757
34	4.349	3.283	-327.929
35	-11.448	18.392	-332.527
36	-20.616	-5.576	-332.382
37	16.152	-13.853	-332.346
38	18.325	4.487	-331.297
39	4.525	-10.728	-328.997
40	-0.183	13.987	-329.614
41	7.295	-14.964	-330.462
42	11.851	-12.378	-330.636
43	-6.912	15.080	-330.441
44	3.427	4.055	-327.914
45	6.967	-14.288	-330.206
46	7.460	3.378	-328.303
47	16.713	-8.281	-331.212
48	1.866	-4.855	-327.902
49	-13.426	-8.825	-330.263
50	-17.117	-14.189	-332.802
51	-7.535	-20.831	-332.762
52	1.746	-18.678	-331.255
53	16.066	-2.835	-330.347
54	9.679	8.632	-329.330
55	0.011	-1.176	-327.647
56	-0.094	-3.569	-327.760
57	14.757	12.077	-331.380
58	-7.878	4.580	-328.464
59	11.797	-2.410	-329.093
60	16.420	3.130	-330.486
61	-11.406	7.796	-329.564
62	-8.926	16.050	-331.099
63	1.606	16.498	-330.437
64	-2.264	13.199	-329.445
65	11.935	-1.503	-329.090
66	-21.815	5.341	-332.914
67	7.836	1.901	-328.283
68	19.783	-9.680	-332.700
69	-6.798	-3.271	-328.201
70	14.101	0.862	-329.654
71	-15.310	-10.440	-331.163
72	-5.795	9.968	-328.970
73	13.088	7.585	-329.957
74	-3.570	8.506	-328.485
75	5.899	-11.757	-329.380
76	-6.015	-0.698	-327.998
77	-20.318	1.745	-331.943
78	-0.669	-6.342	-328.038
79	3.758	-19.931	-331.895
80	7.318	-15.869	-330.760
81	17.095	-11.289	-331.985
82	-14.397	-5.763	-330.078
83	-11.829	-3.132	-329.141
84	-5.066	-18.933	-331.600
85	1.054	-18.643	-331.220
86	-4.333	11.925	-329.256
87	-13.810	-8.808	-330.369
Hit#    X, mm   Y, mm   Z, mm
0     	-13.597	8.808	-330.308
1	5.718	-5.412	-328.252
2	-3.025	6.712	-328.174
3	-6.540	15.058	-330.382
4	8.321	5.052	-328.582
5	6.073	0.224	-328.001
6	7.985	-9.234	-329.134
7	5.842	15.652	-330.483
8	-1.595	-12.482	-329.229
9	-6.615	-9.689	-329.018
10	-11.394	-19.122	-332.815
11	20.436	1.794	-331.997
12	-6.027	-8.592	-328.738
13	-1.364	13.069	-329.376
14	15.653	0.912	-330.134
15	-17.750	-8.440	-331.624
16	10.100	8.893	-329.463
17	-17.918	9.647	-331.924
18	-6.896	-12.784	-329.772
19	-5.474	-15.462	-330.377
20	12.961	13.770	-331.315
21	-9.789	-3.292	-328.703
22	-1.695	9.502	-328.566
23	-7.896	-17.140	-331.300
24	-19.126	-3.823	-331.560
25	12.808	9.394	-330.202
26	-0.156	-5.870	-327.977
27	-11.392	-18.229	-332.447
28	6.759	6.242	-328.480
29	-11.851	-1.581	-329.072
30	-6.778	2.376	-328.148
31	-5.905	-16.944	-330.936
32	3.642	4.335	-327.952
33	4.045	-1.058	-327.807
34	1.005	-9.735	-328.593
35	0.282	16.294	-330.341
36	-1.833	14.579	-329.823
37	1.042	-11.796	-329.044
38	-10.249	-2.252	-328.738
39	17.030	3.256	-330.709
40	19.797	-4.835	-331.937
41	9.590	-5.777	-328.892
42	-12.207	-7.300	-329.682
43	-1.078	8.897	-328.436
44	-3.207	18.043	-331.083
45	-3.663	19.512	-331.708
46	-3.689	-1.546	-327.792
47	6.969	6.606	-328.556
48	7.365	6.867	-328.649
49	-4.596	2.933	-327.929
50	-7.899	5.963	-328.615
51	-4.876	7.538	-328.439
52	6.440	-1.284	-328.063
53	9.952	-18.322	-332.149
54	2.895	19.100	-331.483
55	4.333	12.109	-329.302
56	4.831	-11.773	-329.266
57	13.966	12.116	-331.147
58	4.754	1.715	-327.887
59	6.789	8.765	-328.868
60	-8.513	-3.495	-328.481
61	0.183	17.347	-330.713
62	8.619	-9.326	-329.259
63	22.171	-2.102	-332.821
64	-8.073	4.876	-328.524
65	6.326	-2.314	-328.085
66	-0.682	1.920	-327.675
67	-8.373	-1.094	-328.346
68	-6.658	4.197	-328.252
69	13.747	13.369	-331.424
70	10.980	8.084	-329.513
71	-5.691	-2.774	-328.033
72	2.037	2.573	-327.740
73	-5.246	-10.273	-328.971
74	-0.766	-1.231	-327.654
75	-14.316	-2.569	-329.778
76	0.323	18.292	-331.071
77	4.866	-11.700	-329.252
78	-6.820	1.132	-328.110
79	0.554	-19.305	-331.480
80	9.449	-12.435	-330.114
81	-3.344	-1.234	-327.760
82	-21.762	-4.216	-332.770
83	-5.992	8.963	-328.800
84	11.270	-8.359	-329.626
85	-8.099	3.329	-328.400
86	-7.002	-11.149	-329.383
87	10.828	8.808	-329.605
88	-8.501	-2.636	-328.425
89	6.675	11.176	-329.343
90	-11.462	14.102	-331.024
91	-0.837	0.380	-327.642
92	-17.047	7.431	-331.190
93	13.944	-4.483	-329.809
94	13.549	17.535	-332.766
95	11.129	1.705	-328.907
96	12.095	-8.076	-329.777
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	14.026	-17.319	-332.828
1	14.420	11.636	-331.163
2	-12.016	-11.380	-330.428
3	4.441	-13.030	-329.550
4	-5.805	-1.931	-328.006
5	-9.306	-16.585	-331.359
6	8.744	-19.635	-332.446
7	8.545	14.024	-330.384
8	13.753	-1.945	-329.585
9	17.329	5.623	-331.041
10	0.012	18.559	-331.175
11	11.386	-8.764	-329.725
12	-3.280	21.137	-332.397
13	11.895	-2.954	-329.146
14	9.988	-12.358	-330.203
15	11.841	-10.133	-330.103
16	-3.008	3.052	-327.816
17	6.044	-7.850	-328.617
18	-5.874	-10.212	-329.029
19	-0.232	6.667	-328.077
20	-15.279	5.543	-330.326
21	11.638	-9.111	-329.849
22	-11.208	2.599	-328.964
23	1.029	-12.836	-329.306
24	5.812	19.873	-332.083
25	-9.870	-14.768	-330.867
26	16.055	11.758	-331.728
27	17.500	-12.089	-332.341
28	-12.156	2.095	-329.166
29	-5.128	8.757	-328.666
30	-0.454	12.505	-329.211
31	2.384	-13.879	-329.641
Hit#    X, mm   Y, mm   Z, mm
0     	-5.966	-1.110	-328.000
1	21.915	-1.645	-332.677
2	3.023	-14.641	-329.901
3	-18.756	8.315	-331.998
4	18.049	-7.965	-331.655
5	-0.086	-1.833	-327.667
6	7.822	-1.685	-328.272
7	0.814	-3.868	-327.789
8	3.633	-22.167	-332.916
9	-2.362	4.658	-327.905
10	-4.940	12.954	-329.578
11	-0.607	7.935	-328.266
12	14.428	-3.347	-329.859
13	10.046	-4.221	-328.825
14	-5.288	-1.809	-327.944
15	12.874	-7.079	-329.822
16	11.146	-6.521	-329.316
17	4.723	8.689	-328.613
18	7.175	3.832	-328.294
19	0.759	9.833	-328.608
20	-3.484	-11.963	-329.198
21	-13.116	-9.572	-330.321
22	19.714	-6.655	-332.129
23	13.642	0.891	-329.523
24	14.596	4.094	-329.967
25	-1.824	-1.877	-327.701
26	-10.614	11.271	-330.070
27	11.829	12.639	-330.700
28	-1.617	9.139	-328.495
29	-0.530	0.799	-327.642
30	-1.118	-14.831	-329.878
31	-8.912	1.636	-328.454
32	2.468	1.800	-327.726
33	18.449	-5.259	-331.427
34	-7.430	-14.715	-330.405
35	-7.770	1.392	-328.255
36	8.175	0.864	-328.308
37	-16.905	-7.777	-331.194
38	-5.228	-3.666	-328.039
39	-7.456	-15.007	-330.500
40	-1.531	10.535	-328.770
41	12.488	-6.199	-329.600
42	-16.183	7.583	-330.908
43	-5.129	-3.819	-328.041
44	13.206	1.861	-329.430
45	4.165	-3.806	-327.950
46	1.400	13.026	-329.366
47	2.648	15.362	-330.105
48	-13.763	17.354	-332.761
49	0.627	5.015	-327.887
50	-9.953	5.092	-328.889
51	16.190	2.604	-330.376
52	-3.579	20.397	-332.084
53	-7.003	16.703	-331.000
54	5.244	21.772	-332.882
55	9.370	0.146	-328.512
56	3.406	7.105	-328.253
57	-15.682	15.314	-332.649
58	4.762	15.741	-330.392
59	-13.058	10.411	-330.481
60	20.278	-3.353	-332.015
61	6.570	7.376	-328.611
62	5.136	12.722	-329.537
63	-3.964	-0.344	-327.791
64	-0.757	-13.584	-329.504
65	-6.866	0.949	-328.112
66	-18.635	4.687	-331.440
67	-6.136	10.969	-329.226
68	0.286	7.055	-328.130
69	2.940	-9.340	-328.594
70	5.602	5.269	-328.224
71	12.450	2.960	-329.285
72	-6.676	-4.964	-328.325
73	2.705	4.212	-327.882
74	7.883	-5.806	-328.593
75	-11.234	7.230	-329.436
76	16.082	2.686	-330.344
77	-19.380	10.754	-332.768
78	-9.308	5.705	-328.830
79	3.635	-14.717	-329.967
80	-2.768	6.549	-328.137
81	6.395	-7.465	-328.601
82	6.588	5.708	-328.393
83	7.492	-13.422	-330.035
84	13.496	9.353	-330.383
85	-8.229	18.844	-332.019
86	-19.437	-0.793	-331.539
87	-4.928	-12.578	-329.478
88	-19.931	-0.576	-331.745
89	-2.001	8.676	-328.426
90	2.417	18.121	-331.066
91	16.246	11.092	-331.631
92	-6.037	14.016	-329.999
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	1.161	15.384	-330.053
1	-12.265	3.145	-329.250
2	12.637	-10.388	-330.362
3	-6.764	-12.569	-329.697
4	-1.211	-18.440	-331.143
5	5.789	4.343	-328.156
6	-6.331	-2.370	-328.089
7	-3.461	4.478	-327.952
8	-0.408	-9.002	-328.445
9	4.298	-2.414	-327.875
10	-6.818	10.058	-329.120
11	4.267	-3.157	-327.914
12	-2.425	-11.351	-328.988
13	6.406	-1.306	-328.059
14	10.278	-11.108	-329.959
15	11.978	15.268	-331.519
16	-0.990	-0.998	-327.653
17	-4.063	1.833	-327.831
18	3.492	3.376	-327.868
19	-6.151	6.611	-328.449
20	9.341	4.228	-328.687
21	-19.679	-8.834	-332.483
22	-9.093	6.744	-328.921
23	-15.567	-5.620	-330.428
24	-0.912	-2.753	-327.717
25	-12.092	-13.277	-330.941
26	-2.500	-3.941	-327.850
27	0.123	-9.507	-328.538
28	-0.777	17.375	-330.729
29	-4.477	-0.879	-327.840
30	1.423	0.668	-327.658
31	-4.426	-3.790	-327.971
32	0.469	4.794	-327.864
33	-15.765	-7.078	-330.689
34	18.000	-11.166	-332.300
35	11.652	-3.430	-329.119
36	18.860	6.874	-331.804
37	4.557	-11.008	-329.062
38	16.896	11.788	-332.037
39	-13.295	-16.149	-332.179
40	-7.124	-12.985	-329.859
41	-0.147	2.894	-327.717
42	-12.161	-11.898	-330.592
43	-6.174	-10.075	-329.038
44	-17.832	13.903	-332.990
45	-7.320	-14.650	-330.368
46	-2.940	-12.182	-329.216
47	12.794	12.563	-330.931
48	-1.724	9.278	-328.525
49	-5.509	-5.416	-328.229
50	-0.166	-3.404	-327.749
51	3.524	-4.874	-327.994
52	13.158	-6.978	-329.884
53	3.422	-11.694	-329.128
54	-6.829	-6.779	-328.560
55	-15.436	4.628	-330.279
56	-12.762	2.306	-329.330
57	1.003	6.339	-328.044
58	7.960	0.245	-328.266
59	4.457	-16.059	-330.469
60	-13.537	17.606	-332.790
61	12.381	-2.699	-329.252
62	-5.043	-8.479	-328.608
63	12.705	12.305	-330.839
64	9.576	-16.350	-331.331
65	-13.136	-16.204	-332.153
66	9.817	17.998	-331.991
67	-6.504	-7.117	-328.564
68	-10.309	8.399	-329.419
69	11.238	10.902	-330.127
70	-9.581	-6.745	-329.014
71	-3.555	13.141	-329.507
72	-1.327	-5.290	-327.929
73	14.954	5.821	-330.256
74	-14.189	-8.066	-330.349
75	-10.997	14.943	-331.172
76	6.558	-9.510	-328.975
77	-3.191	-12.348	-329.274
78	12.664	0.687	-329.255
79	-14.648	-5.773	-330.156
80	-0.967	10.024	-328.650
81	13.087	-3.981	-329.525
82	16.729	2.518	-330.557
83	-9.013	12.573	-330.066
84	-8.046	-14.997	-330.594
85	-13.567	-14.368	-331.669
86	13.282	-5.130	-329.686
87	-3.020	12.581	-329.322
88	4.249	0.416	-327.814
89	6.645	-0.970	-328.083
90	-8.894	9.122	-329.270
91	-20.349	-1.422	-331.946
92	1.475	-11.782	-329.052
93	-11.977	-3.826	-329.227
94	-4.660	8.816	-328.630
95	-5.966	15.720	-330.521
96	4.114	21.314	-332.548
97	-9.325	-13.901	-330.494
98	-6.537	-9.840	-329.037
99	9.867	-20.303	-332.971
100	-2.368	3.454	-327.808
101	18.595	7.399	-331.777
102	-10.306	-12.537	-330.318
103	-16.113	-4.402	-330.482
104	16.389	3.115	-330.474
105	-3.763	-14.762	-329.991
106	-3.813	-14.394	-329.883
107	-16.686	12.215	-332.071
108	-0.171	19.090	-331.389
109	-1.134	-11.049	-328.872
110	-16.118	-7.369	-330.852
111	-9.342	15.932	-331.139
112	-6.362	8.659	-328.792
113	-9.662	-7.116	-329.083
114	-11.751	-10.760	-330.218
115	-1.272	-12.276	-329.168
116	3.052	-7.402	-328.273
117	-4.245	11.634	-329.179
118	-20.839	6.652	-332.628
119	1.159	-9.555	-328.561
Hit#    X, mm   Y, mm   Z, mm
0     	4.728	-8.309	-328.548
1	-8.656	-12.039	-329.864
2	9.997	13.292	-330.457
3	19.488	9.499	-332.535
4	3.451	17.416	-330.864
5	-4.476	-4.588	-328.043
6	-9.577	-3.349	-328.665
7	-19.223	-5.624	-331.784
8	12.225	-4.116	-329.312
9	15.248	-13.798	-332.019
10	-6.253	1.676	-328.051
11	13.707	-7.941	-330.187
12	5.758	21.918	-333.004
13	22.385	-4.695	-333.122
14	-6.046	-1.102	-328.009
15	11.863	3.054	-329.145
16	0.351	-14.990	-329.915
17	12.061	-14.432	-331.274
18	0.484	5.973	-327.991
19	7.310	10.136	-329.207
20	-1.751	-4.679	-327.882
21	-14.598	14.694	-332.086
22	0.337	-11.984	-329.080
23	-17.130	8.486	-331.400
24	-10.171	-14.536	-330.859
25	1.691	-8.066	-328.312
26	11.235	15.477	-331.403
27	7.523	-1.096	-328.210
28	18.157	4.947	-331.278
29	2.270	14.699	-329.878
30	6.047	-12.839	-329.673
31	-8.403	15.316	-330.758
32	1.171	-3.484	-327.768
33	0.080	2.099	-327.677
34	1.950	-3.651	-327.804
35	4.515	-4.917	-328.077
36	-8.866	7.550	-328.997
37	-20.563	-2.283	-332.075
38	-0.889	-4.528	-327.845
39	11.835	-18.951	-332.856
40	1.117	-12.173	-329.138
41	-10.269	-7.548	-329.271
42	10.687	-19.581	-332.839
43	-17.393	-11.545	-332.160
44	10.312	-8.226	-329.390
45	-11.496	-15.564	-331.496
46	-1.656	-5.437	-327.955
47	4.209	-7.912	-328.437
48	-3.738	5.713	-328.098
49	4.709	-6.822	-328.320
50	5.780	-9.329	-328.843
51	-16.289	-8.118	-331.034
52	9.393	-7.521	-329.091
53	8.543	1.509	-328.386
54	-0.853	-4.725	-327.863
55	7.689	-1.817	-328.256
56	-6.504	9.513	-328.968
57	-6.423	9.231	-328.904
58	9.194	2.951	-328.567
59	-13.632	3.832	-329.663
60	10.299	16.512	-331.542
61	-22.093	-4.258	-332.934
62	0.376	7.191	-328.150
63	-17.771	8.102	-331.571
64	-0.850	-13.698	-329.538
65	-9.765	1.974	-328.628
66	-10.406	6.276	-329.120
67	9.222	-1.953	-328.523
68	16.553	-4.000	-330.598
69	-17.205	1.502	-330.685
70	-4.915	2.953	-327.961
71	1.180	-6.440	-328.060
72	-3.262	17.279	-330.800
73	1.202	22.627	-333.014
74	5.689	20.770	-332.466
75	16.272	3.221	-330.441
76	-0.323	1.302	-327.651
77	11.338	1.718	-328.955
78	-7.617	-1.421	-328.232
79	-2.753	-16.236	-330.400
80	0.257	-20.156	-331.840
81	-9.880	1.751	-328.642
82	-11.167	-14.504	-331.075
83	2.999	3.040	-327.815
84	-4.681	-8.960	-328.657
85	5.594	-19.001	-331.689
86	18.950	11.602	-332.796
87	-8.583	-16.295	-331.119
88	14.437	-13.230	-331.593
89	-11.026	-12.182	-330.387
90	-8.052	5.608	-328.598
91	-15.443	5.772	-330.406
92	-0.594	-5.974	-327.992
93	-12.762	2.472	-329.339
94	-3.101	-0.034	-327.729
95	11.774	6.679	-329.485
96	-2.290	-12.283	-329.207
97	-2.808	-22.398	-332.971
98	-6.747	1.822	-328.120
99	15.231	-13.620	-331.961
100	-6.298	-15.176	-330.387
101	-9.558	-5.565	-328.862
102	-14.055	13.274	-331.488
103	-6.386	-4.729	-328.264
104	-8.272	17.584	-331.530
105	10.652	-11.106	-330.040
106	2.520	1.281	-327.713
107	12.823	-14.859	-331.612
108	11.915	4.557	-329.274
109	12.367	6.088	-329.555
110	4.429	8.778	-328.602
111	-7.304	9.870	-329.152
112	-0.099	8.071	-328.284
113	-12.591	0.719	-329.237
114	1.859	0.489	-327.670
115	-1.844	12.661	-329.284
116	9.936	-10.171	-329.681
117	2.740	-0.140	-327.708
118	0.516	14.424	-329.744
119	3.581	0.667	-327.765
120	-15.138	-8.100	-330.648
121	-1.426	14.658	-329.833
122	-2.616	-6.594	-328.135
123	-16.823	7.623	-331.139
124	-19.165	-6.431	-331.865
125	-6.740	3.161	-328.186
126	-6.762	-15.619	-330.594
127	4.525	-6.657	-328.280
128	-13.148	0.397	-329.380
129	-13.951	-9.205	-330.485
130	-14.694	3.044	-329.919
131	-8.678	7.763	-328.997
132	4.474	-1.980	-327.871
133	1.557	-5.014	-327.908
134	16.419	7.898	-331.042
135	-0.452	-0.883	-327.643
136	-6.606	12.253	-329.594
137	-0.595	8.649	-328.385
138	-19.975	-2.263	-331.816
139	-7.218	20.877	-332.732
140	0.629	-12.489	-329.209
141	8.827	-2.942	-328.500
142	5.503	-8.184	-328.608
143	-1.979	-14.392	-329.772
144	-6.073	9.342	-328.880
145	0.279	-7.015	-328.125
146	-12.269	-0.358	-329.151
147	3.586	1.315	-327.778
148	-8.643	-3.721	-328.520
149	-8.244	-18.577	-331.913
150	-16.569	-3.421	-330.558
151	12.584	-8.804	-330.030
152	5.010	-6.981	-328.371
153	9.580	17.479	-331.742
154	5.214	-6.027	-328.267
155	-12.153	-13.289	-330.960
156	-6.737	-3.737	-328.226
157	-1.652	-2.287	-327.712
158	13.590	0.662	-329.505
159	-9.568	5.528	-328.859
160	9.648	-0.167	-328.566
161	-14.854	-4.601	-330.092
162	9.293	-8.131	-329.169
163	19.770	3.293	-331.790
164	-10.549	9.981	-329.771
165	-4.543	-11.353	-329.139
166	-17.321	-14.667	-333.033
167	1.460	5.256	-327.929
Hit#    X, mm   Y, mm   Z, mm
0     	15.540	15.581	-332.691
1	-20.095	-6.997	-332.345
2	0.309	-14.163	-329.665
3	-20.996	-6.871	-332.733
4	-3.110	2.564	-327.795
5	-5.079	-12.269	-329.414
6	-3.198	-0.663	-327.739
7	-4.029	-11.297	-329.081
8	-10.133	7.133	-329.180
9	-11.542	0.434	-328.975
10	-7.127	1.775	-328.171
11	7.504	5.655	-328.517
12	-9.935	4.713	-328.848
13	0.198	18.508	-331.155
14	8.980	11.984	-329.910
15	-10.737	-19.512	-332.821
16	1.168	-0.955	-327.656
17	13.795	-11.014	-330.826
18	3.016	-16.513	-330.511
19	4.511	17.351	-330.930
20	19.942	0.506	-331.749
21	-8.976	-18.963	-332.208
22	13.832	1.376	-329.588
23	-11.458	-6.150	-329.340
24	6.476	-9.079	-328.883
25	-0.267	-13.250	-329.407
26	2.286	-15.849	-330.245
27	-7.822	11.106	-329.499
28	-19.104	7.863	-332.062
29	-7.104	1.894	-328.172
30	2.894	-21.972	-332.767
31	3.315	-2.277	-327.794
32	13.749	-0.017	-329.545
33	-20.507	9.121	-332.906
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-12.419	-7.519	-329.769
1	15.780	-6.987	-330.680
2	10.719	0.537	-328.789
3	-10.100	14.462	-330.821
4	7.870	17.711	-331.508
5	11.223	-4.146	-329.074
6	-17.417	13.636	-332.747
7	4.850	2.657	-327.938
8	6.361	2.371	-328.093
9	-3.679	18.677	-331.367
10	14.796	15.504	-332.417
11	-8.122	-1.490	-328.314
12	-13.071	1.125	-329.371
13	-21.142	0.803	-332.289
14	-11.437	-3.905	-329.104
15	12.864	12.347	-330.893
16	-5.749	-12.675	-329.593
17	5.739	-10.822	-329.144
18	-4.124	14.854	-330.049
19	-16.227	8.472	-331.075
20	3.731	2.583	-327.838
21	-1.298	1.105	-327.662
22	5.255	1.079	-327.920
23	3.788	12.505	-329.356
24	7.035	14.766	-330.361
25	2.539	-9.090	-328.525
26	10.975	2.628	-328.913
27	2.164	-8.117	-328.338
28	4.073	-11.487	-329.129
29	6.863	-11.647	-329.480
30	-9.944	10.440	-329.740
31	-16.576	11.427	-331.829
32	-13.670	5.063	-329.787
Hit#    X, mm   Y, mm   Z, mm
0     	-3.888	-5.071	-328.040
1	11.390	-13.217	-330.750
2	-10.498	18.790	-332.460
3	13.184	-9.435	-330.312
4	17.893	12.355	-332.565
5	-2.871	11.373	-329.017
6	11.240	4.627	-329.121
7	-0.003	14.473	-329.756
8	-3.817	13.039	-329.499
9	-3.204	3.511	-327.858
10	-2.946	7.102	-328.223
11	-1.596	-18.810	-331.302
12	-10.390	-10.315	-329.807
13	0.972	1.436	-327.663
14	2.493	-5.295	-327.974
15	19.542	6.030	-331.969
16	13.087	-5.771	-329.705
17	8.859	-2.331	-328.473
18	6.654	-7.262	-328.605
19	-1.783	13.174	-329.418
20	2.351	18.948	-331.390
21	-5.297	5.540	-328.220
22	9.035	9.557	-329.380
23	11.399	-11.825	-330.385
24	18.395	9.767	-332.138
25	12.793	-1.004	-329.294
26	-1.986	-5.236	-327.945
27	1.622	-8.165	-328.326
28	-2.631	-21.050	-332.315
29	12.728	1.605	-329.293
30	15.072	-15.123	-332.379
31	9.838	-9.717	-329.567
32	-3.754	5.400	-328.064
33	6.393	-0.622	-328.044
34	-2.402	-0.645	-327.695
35	0.720	-13.135	-329.380
36	-10.378	10.293	-329.799
37	-6.846	-16.967	-331.072
38	0.713	-3.476	-327.758
39	-2.441	3.360	-327.805
40	2.140	6.409	-328.088
41	1.368	10.400	-328.737
42	-3.038	5.902	-328.072
43	3.778	-4.718	-327.997
44	1.579	8.985	-328.466
45	16.223	3.014	-330.411
46	-8.581	-4.379	-328.563
47	16.047	6.304	-330.674
48	-13.308	-14.413	-331.608
49	-13.898	6.246	-329.992
50	-1.174	-20.365	-331.946
51	-13.174	-5.382	-329.684
52	-20.065	0.890	-331.808
53	7.850	19.156	-332.081
54	-3.199	3.706	-327.872
55	-1.335	-4.943	-327.894
56	-7.591	7.409	-328.762
57	-19.211	-0.834	-331.446
58	-0.228	7.099	-328.136
59	4.014	-1.675	-327.821
60	-2.128	17.135	-330.683
61	-9.170	11.348	-329.791
62	8.257	-11.239	-329.601
63	3.990	-13.665	-329.686
64	-7.615	-6.413	-328.626
65	3.895	3.098	-327.880
66	-8.837	6.435	-328.823
67	-2.635	-14.434	-329.816
68	6.788	7.249	-328.622
69	-6.526	4.492	-328.260
70	-5.583	-20.380	-332.277
71	-2.654	-4.159	-327.875
72	-2.424	-3.696	-327.828
73	22.432	3.244	-333.017
74	6.217	-18.014	-331.375
75	3.956	13.868	-329.741
76	-14.821	4.336	-330.057
77	-12.618	10.299	-330.338
78	-5.511	-18.509	-331.480
79	-9.273	3.816	-328.641
80	-5.814	-1.295	-327.987
81	-1.663	-22.426	-332.928
82	6.226	8.953	-328.827
83	9.750	-15.720	-331.151
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	6.997	-6.958	-328.609
1	6.746	-7.063	-328.589
2	12.618	11.960	-330.727
3	9.747	-7.362	-329.136
4	-16.800	-12.825	-332.279
5	18.240	-6.952	-331.567
6	19.627	-5.172	-331.901
7	0.368	17.567	-330.795
8	6.402	-19.747	-332.107
9	-0.872	-5.409	-327.932
10	-10.157	-1.259	-328.683
11	6.643	8.764	-328.848
12	-1.746	8.397	-328.368
13	-14.219	6.469	-330.115
14	-4.230	15.467	-330.252
15	-15.828	5.954	-330.555
16	-12.454	11.250	-330.510
17	7.333	18.928	-331.902
18	-11.635	7.663	-329.597
19	3.516	-4.979	-328.003
20	5.745	-8.878	-328.755
21	16.600	-9.675	-331.439
22	16.822	5.586	-330.853
23	1.782	-6.956	-328.147
24	-13.911	10.867	-330.826
25	-7.371	-3.519	-328.300
26	-14.011	-5.314	-329.912
27	1.955	-16.320	-330.389
28	-5.358	14.484	-330.058
29	-14.144	5.843	-330.013
30	0.269	1.765	-327.665
31	18.288	0.826	-331.075
32	11.860	-4.385	-329.245
33	6.996	2.741	-328.197
34	-0.916	-7.090	-328.143
35	2.881	-2.121	-327.760
36	2.655	-0.660	-327.708
37	19.572	2.532	-331.658
38	5.901	-9.174	-328.828
39	7.093	7.922	-328.768
40	-2.090	2.589	-327.743
41	-1.825	-6.565	-328.096
42	7.302	5.555	-328.475
43	9.732	-6.688	-329.036
44	-8.197	-11.384	-329.625
45	16.049	-2.954	-330.348
46	-16.963	-6.550	-331.028
47	13.265	-16.086	-332.148
48	9.314	8.667	-329.266
49	11.182	0.348	-328.891
50	-11.969	16.400	-331.904
51	0.937	-3.761	-327.783
52	18.828	-12.158	-332.891
53	5.833	1.184	-327.986
54	-8.018	-6.921	-328.759
55	5.803	0.120	-327.969
56	3.027	-19.951	-331.850
57	-15.155	-10.561	-331.140
58	4.175	-18.203	-331.221
59	20.309	8.133	-332.629
60	6.180	7.155	-328.528
61	-3.013	13.148	-329.472
62	-12.315	16.674	-332.094
63	16.639	-13.260	-332.344
64	6.255	-16.712	-330.898
65	-4.689	-6.565	-328.283
66	7.776	8.193	-328.916
67	9.338	13.447	-330.366
68	17.742	3.725	-331.007
69	0.491	-12.307	-329.162
70	-5.874	10.520	-329.095
71	-14.333	-9.768	-330.712
72	-9.428	-5.161	-328.793
73	-1.624	-12.339	-329.194
74	14.898	-4.254	-330.074
75	-3.786	-7.332	-328.313
76	-1.150	16.823	-330.538
77	-12.520	-6.786	-329.687
78	-7.364	-9.941	-329.175
79	13.036	5.567	-329.668
80	0.320	1.087	-327.646
81	-1.987	9.062	-328.495
82	-4.405	-4.222	-328.004
